STATEFP,COUNTYFP,TRACT10,PUMA00
26,115,831200,03100
26,115,831300,03100
26,115,832600,03100
26,115,833700,03100
26,115,830300,03100
26,115,833100,03100
26,115,833200,03100
26,115,833300,03100
26,115,833500,03100
26,115,833800,03100
26,115,831700,03100
26,115,832500,03100
26,115,832900,03100
26,115,831000,03100
26,115,833000,03100
26,115,831500,03100
26,115,832000,03100
26,115,830100,03100
26,115,831900,03100
26,115,830700,03100
26,115,832100,03100
26,115,832200,03100
26,115,832300,03100
26,115,832400,03100
26,115,990000,03100
26,115,832700,03100
26,115,830500,03100
26,115,830600,03100
26,115,830800,03100
26,115,833600,03100
26,115,833900,03100
26,115,830900,03100
26,115,831100,03100
26,115,831400,03100
26,115,831600,03100
26,115,832800,03100
26,125,124500,02501
26,125,128700,02501
26,125,127400,02501
26,125,124000,02501
26,125,120300,02501
26,125,122200,02501
26,125,128600,02501
26,125,190800,02501
26,125,126300,02501
26,125,127200,02501
26,125,121000,02501
26,125,120000,02501
26,125,123100,02501
26,125,128300,02501
26,125,128400,02501
26,125,129000,02501
26,125,127000,02501
26,125,127100,02501
26,125,127300,02501
26,125,128800,02501
26,125,127500,02501
26,125,126200,02501
26,125,127700,02501
26,125,128500,02501
26,125,121500,02501
26,125,128200,02501
26,125,190500,02501
26,125,121400,02501
26,125,126400,02501
26,125,128000,02501
26,125,128100,02501
26,125,128900,02501
26,125,125600,02501
26,125,126500,02501
26,125,190200,02501
26,125,121800,02501
26,125,123000,02501
26,125,122900,02501
26,125,127600,02501
26,125,125000,02501
26,125,122400,02501
26,125,122700,02501
26,125,190400,02501
26,125,121700,02501
26,125,190700,02501
26,163,985000,03706
26,163,534600,03706
26,163,534500,03706
26,163,526500,03706
26,163,533600,03706
26,163,524000,03706
26,163,523300,03706
26,163,522200,03706
26,163,526400,03706
26,163,526100,03706
26,163,525400,03706
26,163,527300,03706
26,163,524700,03706
26,163,524300,03706
26,163,524200,03706
26,163,524100,03706
26,163,523800,03706
26,163,523400,03706
26,163,533500,03706
26,163,526200,03706
26,163,525800,03706
26,163,525700,03706
26,163,527200,03706
