,TRACTID,BLKGRPID,PUMA,COUNTYID,REGION
231,26099245300,260992453004,03004,26099,2
232,26099245400,260992454002,03004,26099,2
233,26099247201,260992472012,03004,26099,2
234,26099247202,260992472022,03004,26099,2
235,26099247301,260992473013,03004,26099,2
236,26099247302,260992473022,03004,26099,2
237,26099247400,260992474003,03004,26099,2
238,26099247601,260992476011,03004,26099,2
239,26099247602,260992476023,03004,26099,2
240,26099250600,260992506001,03005,26099,2
241,26099250700,260992507002,03005,26099,2
242,26099250800,260992508002,03005,26099,2
243,26099250900,260992509002,03005,26099,2
244,26099251000,260992510002,03005,26099,2
245,26099251100,260992511002,03005,26099,2
246,26099251200,260992512003,03005,26099,2
247,26099251400,260992514001,03005,26099,2
248,26099251400,260992514004,03005,26099,2
249,26099251600,260992516001,03005,26099,2
250,26099251700,260992517001,03005,26099,2
251,26099251800,260992518001,03005,26099,2
252,26099251800,260992518004,03005,26099,2
253,26099251900,260992519003,03005,26099,2
254,26099252000,260992520003,03005,26099,2
255,26099252100,260992521002,03005,26099,2
256,26099254500,260992545003,03004,26099,2
257,26099255000,260992550002,03005,26099,2
258,26099255100,260992551001,03005,26099,2
259,26099255200,260992552001,03005,26099,2
260,26099255200,260992552004,03005,26099,2
261,26099255300,260992553003,03005,26099,2
262,26099255300,260992553005,03005,26099,2
263,26099255400,260992554003,03005,26099,2
264,26099255500,260992555002,03005,26099,2
265,26099255600,260992556003,03005,26099,2
266,26099256100,260992561002,03005,26099,2
267,26099255700,260992557002,03005,26099,2
268,26099255800,260992558003,03005,26099,2
269,26099256000,260992560001,03005,26099,2
270,26099256200,260992562002,03005,26099,2
271,26099256400,260992564001,03005,26099,2
272,26099258100,260992581003,03005,26099,2
273,26099258200,260992582002,03005,26099,2
274,26099258400,260992584001,03005,26099,2
275,26099258400,260992584004,03005,26099,2
276,26099258500,260992585002,03005,26099,2
277,26099258600,260992586002,03005,26099,2
278,26099258600,260992586005,03005,26099,2
279,26099258700,260992587003,03005,26099,2
280,26099258800,260992588003,03005,26099,2
281,26099258900,260992589002,03005,26099,2
282,26099260000,260992600001,03006,26099,2
283,26099260100,260992601001,03006,26099,2
284,26099260200,260992602001,03006,26099,2
285,26099260300,260992603001,03006,26099,2
286,26099260400,260992604001,03006,26099,2
287,26099260400,260992604004,03006,26099,2
288,26099261100,260992611003,03006,26099,2
289,26099261200,260992612002,03006,26099,2
290,26099261400,260992614002,03006,26099,2
291,26099261500,260992615003,03006,26099,2
292,26099261700,260992617002,03006,26099,2
293,26099261800,260992618002,03006,26099,2
294,26099262000,260992620001,03006,26099,2
295,26099262100,260992621001,03006,26099,2
296,26099262200,260992622002,03006,26099,2
297,26099262300,260992623001,03006,26099,2
298,26099262300,260992623004,03006,26099,2
299,26099262400,260992624003,03006,26099,2
300,26099262500,260992625003,03006,26099,2
301,26099262600,260992626001,03006,26099,2
302,26099262700,260992627002,03006,26099,2
303,26099262800,260992628001,03006,26099,2
304,26099263500,260992635001,03006,26099,2
305,26099263500,260992635004,03006,26099,2
306,26099263600,260992636003,03006,26099,2
307,26099264000,260992640001,03006,26099,2
308,26099263700,260992637002,03006,26099,2
309,26099263800,260992638001,03006,26099,2
310,26099263900,260992639001,03006,26099,2
311,26099264200,260992642003,03006,26099,2
312,26099268000,260992680001,03006,26099,2
313,26099268000,260992680004,03006,26099,2
314,26099268100,260992681002,03006,26099,2
315,26099268200,260992682002,03001,26099,2
316,26099268300,260992683002,03006,26099,2
317,26099268400,260992684003,03006,26099,2
318,26099980000,260999800001,03004,26099,2
319,26099982001,260999820011,03003,26099,2
320,26099261400,260992614001,03006,26099,2
321,26099261100,260992611004,03006,26099,2
322,26099261200,260992612001,03006,26099,2
323,26099261300,260992613001,03006,26099,2
324,26099261500,260992615001,03006,26099,2
325,26099261500,260992615002,03006,26099,2
326,26099261601,260992616011,03006,26099,2
327,26099261700,260992617001,03006,26099,2
328,26099261800,260992618001,03006,26099,2
329,26099261900,260992619001,03006,26099,2
330,26099261900,260992619002,03006,26099,2
331,26099262000,260992620002,03006,26099,2
332,26099262000,260992620003,03006,26099,2
333,26099262100,260992621002,03006,26099,2
334,26099262200,260992622001,03006,26099,2
335,26099262200,260992622003,03006,26099,2
336,26099262200,260992622004,03006,26099,2
337,26099262300,260992623002,03006,26099,2
338,26099262300,260992623003,03006,26099,2
339,26099262400,260992624001,03006,26099,2
340,26099262400,260992624002,03006,26099,2
341,26099262500,260992625001,03006,26099,2
342,26099262500,260992625002,03006,26099,2
343,26099262500,260992625004,03006,26099,2
344,26099262500,260992625005,03006,26099,2
345,26099262600,260992626002,03006,26099,2
346,26099262700,260992627001,03006,26099,2
347,26099262700,260992627003,03006,26099,2
348,26099262700,260992627004,03006,26099,2
349,26099262800,260992628002,03006,26099,2
350,26099262900,260992629001,03006,26099,2
351,26099262900,260992629002,03006,26099,2
352,26099262900,260992629003,03006,26099,2
353,26099262900,260992629004,03006,26099,2
354,26099262900,260992629005,03006,26099,2
355,26099263200,260992632001,03006,26099,2
356,26099263200,260992632002,03006,26099,2
357,26099263200,260992632003,03006,26099,2
358,26099263200,260992632004,03006,26099,2
359,26099263400,260992634001,03006,26099,2
360,26099263400,260992634002,03006,26099,2
361,26099263500,260992635002,03006,26099,2
362,26099263400,260992634003,03006,26099,2
363,26099263400,260992634004,03006,26099,2
364,26099263400,260992634005,03006,26099,2
365,26099263500,260992635003,03006,26099,2
366,26099263600,260992636001,03006,26099,2
367,26099263600,260992636002,03006,26099,2
368,26099263600,260992636004,03006,26099,2
369,26099263700,260992637001,03006,26099,2
370,26099263700,260992637003,03006,26099,2
371,26099263800,260992638002,03006,26099,2
372,26099263800,260992638003,03006,26099,2
373,26099263900,260992639002,03006,26099,2
374,26099263900,260992639003,03006,26099,2
375,26099264200,260992642001,03006,26099,2
376,26099264200,260992642002,03006,26099,2
377,26099267600,260992676001,03006,26099,2
378,26099267600,260992676002,03006,26099,2
379,26099268000,260992680002,03006,26099,2
380,26099268000,260992680003,03006,26099,2
381,26099268000,260992680005,03006,26099,2
382,26099268100,260992681001,03006,26099,2
383,26099268100,260992681003,03006,26099,2
384,26099268200,260992682001,03001,26099,2
385,26099268200,260992682003,03001,26099,2
386,26099268300,260992683001,03006,26099,2
387,26099268400,260992684001,03006,26099,2
388,26099268400,260992684002,03006,26099,2
389,26099268400,260992684004,03006,26099,2
390,26099268400,260992684005,03006,26099,2
391,26099980100,260999801001,03006,26099,2
392,26099982002,260999820021,03003,26099,2
393,26099982100,260999821001,03004,26099,2
394,26099982200,260999822001,03006,26099,2
395,26099982300,260999823001,03006,26099,2
396,26099990100,260999901000,03004,26099,2
397,26099206700,260992067001,03001,26099,2
398,26099206700,260992067003,03001,26099,2
399,26099210000,260992100001,03001,26099,2
400,26099211000,260992110001,03001,26099,2
401,26099211000,260992110002,03001,26099,2
402,26099211000,260992110004,03001,26099,2
403,26099212000,260992120001,03001,26099,2
404,26099212000,260992120003,03001,26099,2
405,26099214000,260992140001,03001,26099,2
406,26099214000,260992140003,03001,26099,2
407,26099214500,260992145001,03001,26099,2
408,26099214500,260992145003,03001,26099,2
409,26099214500,260992145004,03001,26099,2
410,26099215000,260992150002,03001,26099,2
411,26099215000,260992150003,03001,26099,2
412,26099215202,260992152021,03001,26099,2
413,26099215201,260992152011,03001,26099,2
414,26099215201,260992152012,03001,26099,2
415,26099215201,260992152013,03001,26099,2
416,26099215202,260992152022,03001,26099,2
417,26099215300,260992153001,03001,26099,2
418,26099215300,260992153002,03001,26099,2
419,26099215500,260992155001,03001,26099,2
420,26099215500,260992155002,03001,26099,2
421,26099215500,260992155003,03001,26099,2
422,26099216000,260992160001,03001,26099,2
423,26099216000,260992160002,03001,26099,2
424,26099217000,260992170001,03001,26099,2
425,26099217000,260992170002,03001,26099,2
426,26099218001,260992180012,03001,26099,2
427,26099218001,260992180013,03001,26099,2
428,26099218002,260992180022,03001,26099,2
429,26099220002,260992200021,03001,26099,2
430,26099220002,260992200023,03001,26099,2
431,26099220003,260992200031,03001,26099,2
432,26099220003,260992200033,03001,26099,2
433,26099220004,260992200041,03001,26099,2
434,26099221100,260992211001,03001,26099,2
435,26099221100,260992211002,03001,26099,2
436,26099221100,260992211004,03001,26099,2
437,26099221100,260992211005,03001,26099,2
438,26099221200,260992212001,03001,26099,2
439,26099221200,260992212002,03001,26099,2
440,26099221200,260992212004,03001,26099,2
441,26099221500,260992215001,03001,26099,2
442,26099222103,260992221031,03001,26099,2
443,26099222103,260992221032,03001,26099,2
444,26099222104,260992221042,03001,26099,2
445,26099222105,260992221051,03001,26099,2
446,26099222106,260992221061,03001,26099,2
447,26099222106,260992221062,03001,26099,2
448,26099222500,260992225001,03001,26099,2
449,26099222500,260992225002,03001,26099,2
450,26099222800,260992228001,03001,26099,2
451,26099222800,260992228002,03001,26099,2
452,26099223401,260992234012,03002,26099,2
453,26099223801,260992238012,03002,26099,2
454,26099223402,260992234021,03002,26099,2
455,26099223500,260992235001,03002,26099,2
456,26099223801,260992238011,03002,26099,2
457,26099223802,260992238021,03002,26099,2
458,26099223802,260992238022,03002,26099,2
459,26099223802,260992238023,03002,26099,2
460,26099223803,260992238031,03002,26099,2
461,26099223803,260992238032,03002,26099,2
462,26099223901,260992239011,03002,26099,2
463,26099223901,260992239012,03002,26099,2
464,26099223902,260992239021,03002,26099,2
465,26099223902,260992239022,03002,26099,2
466,26099223902,260992239023,03002,26099,2
467,26099224001,260992240011,03002,26099,2
468,26099224001,260992240012,03002,26099,2
469,26099224001,260992240013,03002,26099,2
470,26099224002,260992240021,03002,26099,2
471,26099224002,260992240022,03002,26099,2
472,26099224101,260992241012,03002,26099,2
473,26099224102,260992241021,03002,26099,2
474,26099224201,260992242011,03002,26099,2
475,26099224201,260992242012,03002,26099,2
476,26099224202,260992242022,03002,26099,2
477,26099224202,260992242023,03002,26099,2
478,26099224300,260992243002,03002,26099,2
479,26099224400,260992244001,03002,26099,2
480,26099224400,260992244003,03002,26099,2
481,26099224500,260992245001,03002,26099,2
482,26099224600,260992246001,03002,26099,2
483,26099224600,260992246002,03002,26099,2
484,26099224600,260992246004,03002,26099,2
485,26099225100,260992251001,03002,26099,2
486,26099225200,260992252001,03002,26099,2
487,26099225200,260992252002,03002,26099,2
488,26099225200,260992252004,03002,26099,2
489,26099225300,260992253001,03002,26099,2
490,26099225300,260992253003,03002,26099,2
491,26099225300,260992253004,03002,26099,2
492,26099225401,260992254011,03002,26099,2
493,26099225401,260992254013,03002,26099,2
494,26099225500,260992255004,03002,26099,2
495,26099225402,260992254021,03002,26099,2
496,26099225500,260992255001,03002,26099,2
497,26099225500,260992255002,03002,26099,2
498,26099225600,260992256001,03002,26099,2
499,26099225600,260992256002,03002,26099,2
500,26099225600,260992256003,03002,26099,2
501,26099225701,260992257011,03002,26099,2
502,26099225701,260992257012,03002,26099,2
503,26099225701,260992257013,03002,26099,2
504,26099225702,260992257021,03002,26099,2
505,26099225702,260992257022,03002,26099,2
506,26099225800,260992258001,03002,26099,2
507,26099225800,260992258002,03002,26099,2
508,26099225800,260992258003,03002,26099,2
509,26099225800,260992258004,03002,26099,2
510,26099225800,260992258005,03002,26099,2
511,26099225900,260992259001,03002,26099,2
512,26099225900,260992259002,03002,26099,2
513,26099226101,260992261011,03002,26099,2
514,26099226101,260992261012,03002,26099,2
515,26099226102,260992261022,03002,26099,2
516,26099226400,260992264001,03002,26099,2
517,26099226700,260992267002,03002,26099,2
518,26099226700,260992267003,03002,26099,2
519,26099226700,260992267005,03002,26099,2
520,26099226700,260992267006,03002,26099,2
521,26099227000,260992270001,03002,26099,2
522,26099227000,260992270002,03002,26099,2
523,26099227000,260992270004,03002,26099,2
524,26099227300,260992273001,03002,26099,2
525,26099227300,260992273003,03002,26099,2
526,26099228000,260992280001,03002,26099,2
527,26099228000,260992280003,03002,26099,2
528,26099228100,260992281002,03002,26099,2
529,26099230000,260992300001,03003,26099,2
530,26099230000,260992300003,03003,26099,2
531,26099230000,260992300004,03003,26099,2
532,26099230200,260992302002,03003,26099,2
533,26099230200,260992302003,03003,26099,2
534,26099230300,260992303001,03003,26099,2
535,26099230501,260992305011,03003,26099,2
536,26099230300,260992303002,03003,26099,2
537,26099230400,260992304001,03003,26099,2
538,26099230400,260992304002,03003,26099,2
539,26099230501,260992305012,03003,26099,2
540,26099230502,260992305021,03003,26099,2
541,26099230502,260992305022,03003,26099,2
542,26099230602,260992306022,03003,26099,2
543,26099230602,260992306023,03003,26099,2
544,26099230603,260992306031,03003,26099,2
545,26099230603,260992306032,03003,26099,2
546,26099230603,260992306033,03003,26099,2
547,26099230604,260992306041,03003,26099,2
548,26099230604,260992306042,03003,26099,2
549,26099230700,260992307001,03003,26099,2
550,26099230700,260992307002,03003,26099,2
551,26099230700,260992307003,03003,26099,2
552,26099230800,260992308001,03003,26099,2
553,26099230800,260992308002,03003,26099,2
554,26099230800,260992308003,03003,26099,2
555,26099230901,260992309011,03003,26099,2
556,26099230901,260992309012,03003,26099,2
557,26099230901,260992309014,03003,26099,2
558,26099230902,260992309021,03003,26099,2
559,26099231000,260992310001,03003,26099,2
560,26099231000,260992310002,03003,26099,2
561,26099231100,260992311001,03003,26099,2
562,26099231100,260992311002,03003,26099,2
563,26099231200,260992312002,03003,26099,2
564,26099231200,260992312003,03003,26099,2
565,26099231400,260992314002,03003,26099,2
566,26099231400,260992314003,03003,26099,2
567,26099231500,260992315002,03003,26099,2
568,26099231500,260992315003,03003,26099,2
569,26099231600,260992316002,03003,26099,2
570,26099231600,260992316003,03003,26099,2
571,26099231700,260992317002,03003,26099,2
572,26099231700,260992317003,03003,26099,2
573,26099231800,260992318001,03003,26099,2
574,26099231800,260992318003,03003,26099,2
575,26099231900,260992319001,03003,26099,2
576,26099232100,260992321001,03003,26099,2
577,26099231900,260992319003,03003,26099,2
578,26099231900,260992319004,03003,26099,2
579,26099232000,260992320002,03003,26099,2
580,26099232100,260992321003,03003,26099,2
581,26099232100,260992321004,03003,26099,2
582,26099232200,260992322001,03003,26099,2
583,26099232200,260992322002,03003,26099,2
584,26099232200,260992322004,03003,26099,2
585,26099232200,260992322005,03003,26099,2
586,26099232301,260992323012,03003,26099,2
587,26099232301,260992323013,03003,26099,2
588,26099232400,260992324001,03003,26099,2
589,26099232400,260992324002,03003,26099,2
590,26099232400,260992324003,03003,26099,2
591,26099232400,260992324004,03003,26099,2
592,26099232500,260992325001,03003,26099,2
593,26099232500,260992325002,03003,26099,2
594,26099233000,260992330001,03003,26099,2
595,26099233000,260992330002,03003,26099,2
596,26099233000,260992330003,03003,26099,2
597,26099240000,260992400001,03004,26099,2
598,26099240000,260992400002,03004,26099,2
599,26099240000,260992400003,03004,26099,2
600,26099240000,260992400004,03004,26099,2
601,26099240300,260992403002,03004,26099,2
602,26099240300,260992403003,03004,26099,2
603,26099240400,260992404002,03004,26099,2
604,26099240400,260992404003,03004,26099,2
605,26099240500,260992405001,03004,26099,2
606,26099240500,260992405002,03004,26099,2
607,26099240601,260992406011,03004,26099,2
608,26099240601,260992406012,03004,26099,2
609,26099240602,260992406022,03004,26099,2
610,26099240602,260992406023,03004,26099,2
611,26099240700,260992407002,03004,26099,2
612,26099240700,260992407003,03004,26099,2
613,26099240802,260992408021,03004,26099,2
614,26099240802,260992408022,03004,26099,2
615,26099240900,260992409001,03004,26099,2
616,26099240900,260992409002,03004,26099,2
617,26099241200,260992412002,03004,26099,2
618,26099241000,260992410002,03004,26099,2
619,26099241000,260992410003,03004,26099,2
620,26099241200,260992412001,03004,26099,2
621,26099241200,260992412004,03004,26099,2
622,26099241300,260992413001,03004,26099,2
623,26099241400,260992414001,03004,26099,2
624,26099241500,260992415001,03004,26099,2
625,26099241500,260992415002,03004,26099,2
626,26099241600,260992416001,03004,26099,2
627,26099241600,260992416002,03004,26099,2
628,26099241700,260992417002,03004,26099,2
629,26099241700,260992417003,03004,26099,2
630,26099241900,260992419001,03004,26099,2
631,26099241900,260992419002,03004,26099,2
632,26099241900,260992419003,03004,26099,2
633,26099242001,260992420011,03004,26099,2
634,26099242002,260992420021,03004,26099,2
635,26099242002,260992420022,03004,26099,2
636,26099242003,260992420031,03004,26099,2
637,26099242100,260992421001,03004,26099,2
638,26099242100,260992421002,03004,26099,2
639,26099242500,260992425001,03004,26099,2
640,26099242500,260992425002,03004,26099,2
641,26099242500,260992425003,03004,26099,2
642,26099242500,260992425004,03004,26099,2
643,26099242500,260992425005,03004,26099,2
644,26099243000,260992430001,03004,26099,2
645,26099243000,260992430002,03004,26099,2
646,26099243501,260992435011,03004,26099,2
647,26099243502,260992435022,03004,26099,2
648,26099243502,260992435023,03004,26099,2
649,26099245000,260992450001,03004,26099,2
650,26099245000,260992450002,03004,26099,2
651,26099245000,260992450004,03004,26099,2
652,26099245100,260992451001,03004,26099,2
653,26099245100,260992451003,03004,26099,2
654,26099245100,260992451004,03004,26099,2
655,26099245200,260992452002,03004,26099,2
656,26099245300,260992453002,03004,26099,2
657,26099245300,260992453003,03004,26099,2
658,26099247201,260992472011,03004,26099,2
659,26099245300,260992453005,03004,26099,2
660,26099245400,260992454001,03004,26099,2
661,26099247100,260992471001,03004,26099,2
662,26099247201,260992472013,03004,26099,2
663,26099247202,260992472021,03004,26099,2
664,26099247301,260992473011,03004,26099,2
665,26099247301,260992473012,03004,26099,2
666,26099247301,260992473014,03004,26099,2
667,26099247302,260992473021,03004,26099,2
668,26099247400,260992474001,03004,26099,2
669,26099247400,260992474002,03004,26099,2
670,26099247500,260992475001,03004,26099,2
671,26099247500,260992475002,03004,26099,2
672,26099247602,260992476021,03004,26099,2
673,26099247602,260992476022,03004,26099,2
674,26099250000,260992500001,03005,26099,2
675,26099250000,260992500002,03005,26099,2
676,26099250000,260992500003,03005,26099,2
677,26099250100,260992501001,03005,26099,2
678,26099250100,260992501002,03005,26099,2
679,26099250100,260992501003,03005,26099,2
680,26099250200,260992502001,03005,26099,2
681,26099250200,260992502002,03005,26099,2
682,26099250300,260992503001,03005,26099,2
683,26099250300,260992503002,03005,26099,2
684,26099250300,260992503003,03005,26099,2
685,26099250300,260992503004,03005,26099,2
686,26099250400,260992504001,03005,26099,2
687,26099250500,260992505001,03005,26099,2
688,26099250500,260992505002,03005,26099,2
689,26099250500,260992505003,03005,26099,2
690,26099250600,260992506002,03005,26099,2
691,26099250700,260992507001,03005,26099,2
692,26099250700,260992507003,03005,26099,2
693,26099250800,260992508001,03005,26099,2
694,26099250800,260992508003,03005,26099,2
695,26099250900,260992509001,03005,26099,2
696,26099250900,260992509003,03005,26099,2
697,26099251000,260992510001,03005,26099,2
698,26099251100,260992511001,03005,26099,2
699,26099251300,260992513002,03005,26099,2
700,26099251200,260992512001,03005,26099,2
701,26099251200,260992512002,03005,26099,2
702,26099251300,260992513001,03005,26099,2
703,26099251400,260992514002,03005,26099,2
704,26099251400,260992514003,03005,26099,2
705,26099251500,260992515001,03005,26099,2
706,26099251500,260992515002,03005,26099,2
707,26099251600,260992516002,03005,26099,2
708,26099251600,260992516003,03005,26099,2
709,26099251700,260992517002,03005,26099,2
710,26099251700,260992517003,03005,26099,2
711,26099251800,260992518002,03005,26099,2
712,26099251800,260992518003,03005,26099,2
713,26099251900,260992519001,03005,26099,2
714,26099251900,260992519002,03005,26099,2
715,26099252000,260992520001,03005,26099,2
716,26099252000,260992520002,03005,26099,2
717,26099252000,260992520004,03005,26099,2
718,26099252100,260992521001,03005,26099,2
719,26099252200,260992522001,03005,26099,2
720,26099252200,260992522002,03005,26099,2
721,26099252200,260992522003,03005,26099,2
722,26099254000,260992540001,03004,26099,2
723,26099254000,260992540002,03004,26099,2
724,26099254100,260992541001,03004,26099,2
725,26099254100,260992541002,03004,26099,2
726,26099254100,260992541003,03004,26099,2
727,26099254200,260992542001,03004,26099,2
728,26099254200,260992542002,03004,26099,2
